"AtcoCode","NaptanCode","PlateCode","CleardownCode","CommonName","CommonNameLang","ShortCommonName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","Bearing","NptgLocalityCode","LocalityName","ParentLocalityName","GrandParentLocalityName","Town","TownLang","Suburb","SuburbLang","LocalityCentre","GridType","Easting","Northing","Longitude","Latitude","StopType","BusStopType","TimingStatus","DefaultWaitTime","Notes","NotesLang","AdministrativeAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification","Status"
"1800SB31911","mangtwdw","",,"Alexandra Road South/Claremont Road","","Claremont Road","","PARK","","ALEXANDRA RD S","","","","Park","","S","E0028255","Alexandra Park","Whalley Range","Manchester","","","","","0","U",383341,395362,-2.25234,53.45477,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB31921","mangtwga","",,"Alexandra Road South/Range Road","","Range Road","","ST EDMUNDS HALL","","ALEXANDRA RD S","","","","opp Park","","N","E0028255","Alexandra Park","Whalley Range","Manchester","","","","","0","U",383336,395182,-2.2524,53.45315,"BCT","MKD","TIP","","INDICATOR AMENDED","","083","2010-03-29T00:00:00","2010-03-29T00:00:00",1,"new","act"
"1800SB31931","mangtwgd","",,"Alexandra Rd Sth/St Bede's College","","St Bede's College","","ST BEDES COLLEG","","ALEXANDRA RD S","","","","College","","N","E0028255","Alexandra Park","Whalley Range","Manchester","","","","","1","U",383341,395052,-2.25232,53.45198,"BCT","MKD","TIP","","NAME AMENDED","","083","2010-03-29T00:00:00","2010-03-29T00:00:00",1,"new","act"
"1800SB31941","mangtwgj","",,"Alexandra Rd Sth/Wellington Rd","","Wellington Rd","","OPP ST BEDES","","ALEXANDRA RD S","","","","Op St Bedes","","S","E0028255","Alexandra Park","Whalley Range","Manchester","","","","","1","U",383354,395013,-2.25212,53.45163,"BCT","MKD","TIP","","NAME AMENDED","","083","2010-03-29T00:00:00","2010-03-29T00:00:00",1,"new","act"
"1800SB31951","mangtwgm","",,"Alexandra Road South/Demesne Road","","Demesne Road","","HOUSE 36","","ALEXANDRA RD S","","","","House 36","","N","E0028255","Alexandra Park","Whalley Range","Manchester","","","","","0","U",383350,394785,-2.25217,53.44958,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB31961","mangtwgp","",,"Alexandra Road South/Demesne Road","","Demesne Road","","PARK","","ALEXANDRA RD S","","","","Park","","S","E0028255","Alexandra Park","Whalley Range","Manchester","","","","","0","U",383364,394757,-2.25196,53.44933,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB31971","mangtwgt","",,"Alexandra Rd South/Brantingham Rd","","Brantingham Rd","","HOUSE 41","","ALEXANDRA RD S","","","","House 41","","S","E0029530","Whalley Range","Manchester","","","","","","0","U",383378,394383,-2.25173,53.44597,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB31981","mangtwgw","",,"Alexandra Rd South/Brantingham Rd","","Brantingham Rd","","OP CHURCH","","ALEXANDRA RD S","","","","Op Church","","N","E0029530","Whalley Range","Manchester","","","","","","0","U",383361,394486,-2.25199,53.44689,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB31991","mangtwja","",,"Alexandra Road South/Wilbraham Rd","","Wilbraham Rd","","OP HOUSE 75","","ALEXANDRA RD S","","","","Op Hse 75","","N","E0029530","Whalley Range","Manchester","","","","","","0","U",383375,394144,-2.25176,53.44382,"BCT","MKD","TIP","","INDICATOR AMENDED","","083","2010-03-29T00:00:00","2010-03-29T00:00:00",1,"new","act"
"1800SB32401","mangtwjp","",,"Wilbraham Road/Edge Lane","","Edge Lane","","OP HOUSE 560","","WILBRAHAM ROAD","","","","Op House 560","","W","E0028713","Chorlton","Manchester","","","","","","0","U",381023,393999,-2.28716,53.44244,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32411","mangtwjt","",,"Wilbraham Road/Manchester Road","","Manchester Road","","CONSERV CLUB","","WILBRAHAM ROAD","","","","Conserv Club","","W","E0028713","Chorlton","Manchester","","","","","","0","U",381355,394011,-2.28216,53.44256,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32421","mangtwjw","",,"Wilbraham Road/Maidstone Avenue","","Maidstone Avenue","","SUTTON MANOR","","WILBRAHAM ROAD","","","","Sutton Manor","","E","E0028713","Chorlton","Manchester","","","","","","0","U",381086,394017,-2.28622,53.4426,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32431","mangtwma","",,"Wilbraham Rd/Manchester Rd","","Manchester Rd","","NEWSAGENTS","","WILBRAHAM ROAD","","","","Stop A","","E","E0028713","Chorlton","Manchester","","","","","","0","U",381486,394026,-2.28019,53.4427,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32441","mangtwmd","",,"Wilbraham Rd/Brundretts Rd","","Brundretts Rd","","OS RESTAURANT","","WILBRAHAM ROAD","","","","Stop B","","W","E0028713","Chorlton","Manchester","","","","","","0","U",381550,394006,-2.27923,53.44252,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32461","mangtwmg","",,"Wilbraham Road/Morrison's","","Morrison's","","MORRISON","","WILBRAHAM ROAD","","","","Stop F","","E","E0028713","Chorlton","Manchester","","","","","","0","U",381897,394008,-2.274,53.44255,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32471","mangtwmj","",,"Wilbraham Rd/Chorlton Post Office","","Chorlton PO","","OS CAFE","","WILBRAHAM ROAD","","","","Stop E","","W","E0028713","Chorlton","Manchester","","","","","","0","U",381765,393997,-2.27599,53.44245,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32481","mangtwmp","",,"Wilbraham Road/Buckingham Road","","Buckingham Road","","OS MEDICAL CNR","","WILBRAHAM ROAD","","","","Os Medical Cnr","","E","E0028713","Chorlton","Manchester","","","","","","0","U",382064,394016,-2.27149,53.44263,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32491","mangtwmt","",,"Wilbraham Road/Buckingham Road","","Buckingham Road","","OS GEN STORE","","WILBRAHAM ROAD","","","","Os Gen Store","","W","E0028713","Chorlton","Manchester","","","","","","0","U",382053,394001,-2.27166,53.44249,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
